title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
Castlevania: Portrait of Ruin,1,Action,Konami,85,0.3,17.95,Nintendo DS,M,2006,13.1333333333333
Need for Speed: Undercover,4,Racing / Driving,EA,54,0.27,27.95,Nintendo Wii,E,2008,12.1833333333333
Dark Sector,1,Action,,72,0.21,13.95,X360,M,2008,9.16666666666667
Wario Land: Shake It!,1,Action,Nintendo,78,0.59,19.95,Nintendo Wii,T,2008,9.63333333333333
Professor Layton and the Curious Village,1,"Adventure,Educational,Strategy",Nintendo,85,1.26,23.95,Nintendo DS,E,2007,14.4166666666667
Marvel Ultimate Alliance,4,"Action,Role-Playing (RPG)",Activision,73,0.38,17.95,Nintendo Wii,M,2006,15.25
Grand Theft Auto: Vice City Stories,1,"Action,Racing / Driving",Rockstar,86,1.72,17.95,Sony PSP,E,2006,21.0333333333333
Star Wars: Lethal Alliance,1,Action,Ubisoft,61,0.12,17.95,Sony PSP,T,2006,5.66666666666667
Looney Tunes: Acme Arsenal,1,Action,,27,0.19,14.95,Nintendo Wii,T,2007,3.83333333333333
Dragoneer's Aria,1,Role-Playing (RPG),,56,0.02,24.95,Sony PSP,E,2007,37.6333333333333
Fantastic Four: Rise of the Silver Surfer,1,Action,2K,35,0.04,14.95,Nintendo DS,E,2007,7.6
Madden NFL 08,1,Sports,EA,75,0.64,9.95,Sony PSP,E,2007,106
Ben 10: Protector of the Earth,1,Action,,60,0.19,16.95,Sony PSP,T,2007,5.08333333333333
Final Fantasy III,1,Role-Playing (RPG),SquareEnix,77,0.86,17.95,Nintendo DS,E,2006,51.0666666666667
Thrillville: Off the Rails,4,"Simulation,Strategy",,73,0.12,17.95,X360,E,2007,12.15
The BIGS,4,"Action,Simulation,Sports",2K,80,0.16,22.95,PlayStation 3,T,2007,16.8166666666667
Far Cry 2,1,Action,Ubisoft,85,0.73,19.95,X360,T,2008,26
The Golden Compass,1,Action,Sega,28,0.1,14.95,Sony PSP,E,2007,8.56666666666667
Shrek the Third,1,Action,Activision,57,0.09,22.95,Sony PSP,T,2007,5.11666666666667
Deal or No Deal,1,Strategy,,20,1.1,11.95,Nintendo DS,E,2007,0.983333333333333
The Godfather: The Game,1,Action,EA,77,0.2,17.95,X360,T,2006,21.15
Beowulf: The Game,1,Action,Ubisoft,51,0.12,12.95,PlayStation 3,T,2007,10.85
